"Stadtteil","Jahr","Personen","Deutsche mit Migrationshintergrund","Ausländer/-innen"
"Daxlanden","2014",390,297,93
"Daxlanden","2015",396,284,112
"Daxlanden","2016",403,276,127
"Daxlanden","2017",404,267,137
"Daxlanden","2018",402,257,145
"Daxlanden","2019",381,236,145
"Daxlanden","2020",355,231,124
"Daxlanden","2021",370,236,134
"Knielingen","2007",331,207,124
"Knielingen","2008",310,202,108
"Knielingen","2009",311,201,110
"Knielingen","2010",302,210,92
"Knielingen","2011",305,212,93
"Knielingen","2012",317,214,103
"Knielingen","2013",322,226,96
"Knielingen","2014",343,238,105
"Knielingen","2015",378,238,140
"Knielingen","2016",415,253,162
"Knielingen","2017",453,264,189
"Knielingen","2018",499,281,218
"Knielingen","2019",506,272,234
"Knielingen","2020",527,277,250
"Knielingen","2021",538,286,252
"Grünwinkel","2007",418,259,159
"Grünwinkel","2008",389,255,134
"Grünwinkel","2009",383,250,133
"Grünwinkel","2010",375,250,125
"Grünwinkel","2011",373,251,122
"Grünwinkel","2012",381,257,124
"Grünwinkel","2013",403,261,142
"Grünwinkel","2014",405,259,146
"Grünwinkel","2015",419,279,140
"Grünwinkel","2016",463,276,187
"Grünwinkel","2017",587,297,290
"Grünwinkel","2018",733,285,448
"Grünwinkel","2019",684,286,398
"Grünwinkel","2020",533,300,233
"Grünwinkel","2021",597,304,293
"Oberreut","2007",655,468,187
"Oberreut","2008",638,451,187
"Oberreut","2009",649,456,193
"Oberreut","2010",604,431,173
"Oberreut","2011",586,425,161
"Oberreut","2012",566,408,158
"Oberreut","2013",546,405,141
"Oberreut","2014",544,393,151
"Oberreut","2015",580,418,162
"Oberreut","2016",567,401,166
"Oberreut","2017",555,380,175
"Oberreut","2018",584,377,207
"Oberreut","2019",663,399,264
"Oberreut","2020",664,394,270
"Oberreut","2021",671,394,277
"Beiertheim-Bulach","2007",189,119,70
"Beiertheim-Bulach","2008",190,129,61
"Beiertheim-Bulach","2009",195,139,56
"Beiertheim-Bulach","2010",192,137,55
"Beiertheim-Bulach","2011",182,130,52
"Beiertheim-Bulach","2012",179,134,45
"Beiertheim-Bulach","2013",186,131,55
"Beiertheim-Bulach","2014",181,130,51
"Beiertheim-Bulach","2015",179,128,51
"Beiertheim-Bulach","2016",187,127,60
"Beiertheim-Bulach","2017",186,121,65
"Beiertheim-Bulach","2018",189,119,70
"Beiertheim-Bulach","2019",199,116,83
"Beiertheim-Bulach","2020",208,122,86
"Beiertheim-Bulach","2021",195,109,86
"Weiherfeld-Dammerstock","2007",146,99,47
"Weiherfeld-Dammerstock","2008",150,109,41
"Weiherfeld-Dammerstock","2009",152,109,43
"Weiherfeld-Dammerstock","2010",162,111,51
"Weiherfeld-Dammerstock","2011",161,110,51
"Weiherfeld-Dammerstock","2012",156,112,44
"Weiherfeld-Dammerstock","2013",156,107,49
"Weiherfeld-Dammerstock","2014",158,114,44
"Weiherfeld-Dammerstock","2015",159,119,40
"Weiherfeld-Dammerstock","2016",164,114,50
"Weiherfeld-Dammerstock","2017",172,119,53
"Weiherfeld-Dammerstock","2018",172,123,49
"Weiherfeld-Dammerstock","2019",170,121,49
"Weiherfeld-Dammerstock","2020",159,112,47
"Weiherfeld-Dammerstock","2021",161,112,49
"Rüppurr","2007",214,157,57
"Rüppurr","2008",223,160,63
"Rüppurr","2009",207,154,53
"Rüppurr","2010",212,161,51
"Rüppurr","2011",218,160,58
"Rüppurr","2012",215,166,49
"Rüppurr","2013",211,160,51
"Rüppurr","2014",205,158,47
"Rüppurr","2015",211,147,64
"Rüppurr","2016",214,152,62
"Rüppurr","2017",228,157,71
"Rüppurr","2018",223,152,71
"Rüppurr","2019",237,160,77
"Rüppurr","2020",244,164,80
"Rüppurr","2021",273,185,88
"Waldstadt","2007",619,438,181
"Waldstadt","2008",635,437,198
"Waldstadt","2009",647,461,186
"Waldstadt","2010",648,467,181
"Waldstadt","2011",647,453,194
"Waldstadt","2012",625,423,202
"Waldstadt","2013",629,427,202
"Waldstadt","2014",644,424,220
"Waldstadt","2015",649,424,225
"Waldstadt","2016",640,403,237
"Waldstadt","2017",647,402,245
"Waldstadt","2018",654,384,270
"Waldstadt","2019",656,389,267
"Waldstadt","2020",646,375,271
"Waldstadt","2021",669,368,301
"Rintheim","2007",306,231,75
"Rintheim","2008",294,228,66
"Rintheim","2009",266,202,64
"Rintheim","2010",259,202,57
"Rintheim","2011",264,202,62
"Rintheim","2012",259,201,58
"Rintheim","2013",267,208,59
"Rintheim","2014",280,204,76
"Rintheim","2015",298,214,84
"Rintheim","2016",313,225,88
"Rintheim","2017",371,252,119
"Rintheim","2018",389,254,135
"Rintheim","2019",398,250,148
"Rintheim","2020",408,257,151
"Rintheim","2021",409,259,150
"Hagsfeld","2007",354,254,100
"Hagsfeld","2008",325,231,94
"Hagsfeld","2009",298,214,84
"Hagsfeld","2010",281,193,88
"Hagsfeld","2011",273,188,85
"Hagsfeld","2012",264,185,79
"Hagsfeld","2013",260,180,80
"Hagsfeld","2014",262,168,94
"Hagsfeld","2015",257,171,86
"Hagsfeld","2016",261,163,98
"Hagsfeld","2017",263,149,114
"Hagsfeld","2018",269,144,125
"Hagsfeld","2019",278,140,138
"Hagsfeld","2020",278,138,140
"Hagsfeld","2021",303,139,164
"Durlach","2007",1316,821,495
"Durlach","2008",1269,807,462
"Durlach","2009",1257,802,455
"Durlach","2010",1225,803,422
"Durlach","2011",1231,802,429
"Durlach","2012",1236,823,413
"Durlach","2013",1275,859,416
"Durlach","2014",1302,870,432
"Durlach","2015",1309,883,426
"Durlach","2016",1337,880,457
"Durlach","2017",1293,856,437
"Durlach","2018",1298,837,461
"Durlach","2019",1341,808,533
"Durlach","2020",1341,779,562
"Durlach","2021",1431,828,603
"Grötzingen","2007",269,188,81
"Grötzingen","2008",266,195,71
"Grötzingen","2009",258,193,65
"Grötzingen","2010",260,195,65
"Grötzingen","2011",260,195,65
"Grötzingen","2012",261,192,69
"Grötzingen","2013",264,196,68
"Grötzingen","2014",282,197,85
"Grötzingen","2015",328,219,109
"Grötzingen","2016",343,214,129
"Grötzingen","2017",333,219,114
"Grötzingen","2018",318,211,107
"Grötzingen","2019",308,202,106
"Grötzingen","2020",323,203,120
"Grötzingen","2021",339,202,137
"Stupferich","2007",43,27,16
"Stupferich","2008",44,27,17
"Stupferich","2009",46,28,18
"Stupferich","2010",40,27,13
"Stupferich","2011",40,23,17
"Stupferich","2012",41,24,17
"Stupferich","2013",44,24,20
"Stupferich","2014",36,21,15
"Stupferich","2015",53,34,19
"Stupferich","2016",63,39,24
"Stupferich","2017",63,38,25
"Stupferich","2018",76,43,33
"Stupferich","2019",76,43,33
"Stupferich","2020",88,46,42
"Stupferich","2021",99,52,47
"Hohenwettersbach","2007",53,38,15
"Hohenwettersbach","2008",65,50,15
"Hohenwettersbach","2009",59,45,14
"Hohenwettersbach","2010",59,46,13
"Hohenwettersbach","2011",61,46,15
"Hohenwettersbach","2012",58,43,15
"Hohenwettersbach","2013",67,49,18
"Hohenwettersbach","2014",71,49,22
"Hohenwettersbach","2015",69,53,16
"Hohenwettersbach","2016",78,58,20
"Hohenwettersbach","2017",70,55,15
"Hohenwettersbach","2018",67,52,15
"Hohenwettersbach","2019",62,49,13
"Hohenwettersbach","2020",75,51,24
"Hohenwettersbach","2021",76,50,26
"Wolfartsweier","2007",81,57,24
"Wolfartsweier","2008",80,56,24
"Wolfartsweier","2009",74,50,24
"Wolfartsweier","2010",70,50,20
"Wolfartsweier","2011",65,48,17
"Wolfartsweier","2012",64,48,16
"Wolfartsweier","2013",65,46,19
"Wolfartsweier","2014",69,46,23
"Wolfartsweier","2015",86,51,35
"Wolfartsweier","2016",92,49,43
"Wolfartsweier","2017",97,49,48
"Wolfartsweier","2018",91,52,39
"Wolfartsweier","2019",88,54,34
"Wolfartsweier","2020",88,52,36
"Wolfartsweier","2021",102,60,42
"Grünwettersbach","2007",52,36,16
"Grünwettersbach","2008",54,38,16
"Grünwettersbach","2009",50,37,13
"Grünwettersbach","2010",55,44,11
"Grünwettersbach","2011",63,49,14
"Grünwettersbach","2012",76,59,17
"Grünwettersbach","2013",77,63,14
"Grünwettersbach","2014",84,63,21
"Grünwettersbach","2015",93,73,20
"Grünwettersbach","2016",101,74,27
"Grünwettersbach","2017",92,65,27
"Grünwettersbach","2018",96,64,32
"Grünwettersbach","2019",94,62,32
"Grünwettersbach","2020",101,68,33
"Grünwettersbach","2021",117,70,47
"Palmbach","2007",23,13,10
"Palmbach","2008",28,12,16
"Palmbach","2009",31,12,19
"Palmbach","2010",30,12,18
"Palmbach","2011",32,16,16
"Palmbach","2012",40,26,14
"Palmbach","2013",43,29,14
"Palmbach","2014",46,38,8
"Palmbach","2015",48,37,11
"Palmbach","2016",55,31,24
"Palmbach","2017",63,32,31
"Palmbach","2018",60,30,30
"Palmbach","2019",64,34,30
"Palmbach","2020",65,40,25
"Palmbach","2021",69,44,25
"Neureut","2007",490,333,157
"Neureut","2008",485,316,169
"Neureut","2009",496,312,184
"Neureut","2010",534,345,189
"Neureut","2011",557,358,199
"Neureut","2012",580,387,193
"Neureut","2013",605,411,194
"Neureut","2014",607,408,199
"Neureut","2015",639,422,217
"Neureut","2016",685,415,270
"Neureut","2017",647,418,229
"Neureut","2018",650,409,241
"Neureut","2019",648,397,251
"Neureut","2020",673,415,258
"Neureut","2021",717,437,280
"Nordstadt","2007",564,433,131
"Nordstadt","2008",537,423,114
"Nordstadt","2009",523,412,111
"Nordstadt","2010",548,424,124
"Nordstadt","2011",554,431,123
"Nordstadt","2012",544,436,108
"Nordstadt","2013",535,429,106
"Nordstadt","2014",533,426,107
"Nordstadt","2015",533,431,102
"Nordstadt","2016",527,415,112
"Nordstadt","2017",521,405,116
"Nordstadt","2018",487,382,105
"Nordstadt","2019",472,361,111
"Nordstadt","2020",426,322,104
"Nordstadt","2021",415,305,110
